"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TOMM20",2074.64998100023,-0.677890626934657,0.197277200337488,-3.43623401880689,0.00058986122495851,0.0100407864953732
"EFCAB2",208.64469265947,0.552306052741526,0.143613003466448,3.84579417887155,0.000120162599605406,0.00362426495248206
"FAM41C",4.30432281581953,2.03717416604254,0.57269168709114,3.55719178741691,0.000374840496359442,0.0074204188570017
"KLHL17",152.576072466681,0.831020137935221,0.219402912498455,3.78764405846743,0.000152082509252327,0.00418564861575571
"HES4",199.860757500372,-0.612570053548724,0.216223059505776,-2.83304683112377,0.00461066306672099,0.0377853181679666
"ATAD3C",72.8859265832649,1.03294556645994,0.286895472817104,3.60042476905323,0.000317697743578042,0.00670447123188763
"CDK11A",104.23537408579,0.708193788730602,0.196854533346258,3.59754879246252,0.00032123024918178,0.00674311294257008
"SLC35E2B",1217.29155722158,0.385405083619926,0.118241221497642,3.25948158128265,0.00111616027675951,0.0154778390792628
"FAAP20",335.452366317625,0.396722367623796,0.144015231955332,2.75472505399181,0.00587414754507064,0.0438177060446453
"LOC100129534",68.0157250062009,0.886694811219419,0.293367446183572,3.0224717253208,0.00250719503858786,0.025940630619803
"HES5",101.794700358529,-1.46882146336672,0.377661850212998,-3.88925029768911,0.000100554369671059,0.00327727860098964
"ARHGEF16",34.7317304000361,0.670573556552755,0.212368976821146,3.15758717017082,0.00159080666804969,0.0192568264716388
"LINC01134",5.09709219397881,2.13461649364707,0.496791030091615,4.29680965305154,1.73273861143781e-05,0.00110298448461639
"DNAJC11",517.873028344883,-0.243517072601923,0.0891739475591352,-2.73080960602799,0.00631789591054725,0.0458255583321392
"PARK7",1151.30765489818,-0.309375370414063,0.0982342807671696,-3.14936260537531,0.00163627029436771,0.0196379041624768
"LOC102724552",20.9385470025424,0.711177806721336,0.207045865019864,3.43488051139349,0.000592815157056354,0.0100575557810177
"ENO1",6557.51614756014,-0.414057400185116,0.11828120943607,-3.50061858649586,0.00046417966659596,0.00850895862466748
"RNU6-2",57.0499937513508,0.656345718003843,0.241351506508708,2.71945979330426,0.00653886439717181,0.0469767546794012
"PLOD1",929.81081222419,0.500743624378102,0.166470254405486,3.00800660253931,0.00262967424708877,0.0268606313816036
"PRDM2",3044.42372469853,-0.34541964912536,0.0998814644559144,-3.4582958009974,0.000543604181124122,0.0094873645312613
"C1orf195",7.69411773665263,1.2579633043627,0.352802901412042,3.56562630105332,0.000362988297327464,0.00726563242408184
"CELA2A",9.93955607193204,1.13146328492657,0.401058501941112,2.82119261766131,0.00478454652084385,0.0385408836817243
"HSPB7",37.0558518622256,1.0788096296088,0.220894613938828,4.88382043533012,1.04049837358091e-06,0.000169004227630158
"CROCCP3",715.30464105832,0.651737512744973,0.197487229831038,3.30015015807641,0.000966331097642032,0.0141319682884683
"MST1L",7.3093742970601,0.926145170575237,0.320549383833893,2.88924333435986,0.00386170116066399,0.0341622634820168
"CROCC",1222.50779630886,0.92781168900255,0.240606735620583,3.85613348109103,0.000115194602808065,0.00354455939323699
"SDHB",408.403283257808,-0.354993726609015,0.127898468803573,-2.77559012183496,0.00551016256585559,0.042093053741324
"RCC2",795.475533280775,0.294360468688802,0.104377430364902,2.82015439218731,0.00480005485720164,0.0385867542355284
"EMC1",1324.37806939185,-0.267709987792513,0.0816671326634639,-3.27806277827457,0.00104522147072464,0.0148473897232111
"MRTO4",306.010105824394,-0.361472764534021,0.112603211679808,-3.21014613297073,0.00132667507131724,0.0172276495499492
"PQLC2",230.508191330217,0.376332443454665,0.115650921838151,3.25403755952183,0.00113777235684411,0.0156244608615544
"LOC101927895",13.9677142464622,0.575905653280789,0.199808653184668,2.88228584749292,0.00394801400282408,0.0346167457875938
"CDA",22.3985905291097,0.947786543980918,0.254337531310961,3.7264910888127,0.000194163933439238,0.00488415529514274
"DDOST",637.352661207485,-0.508423354757466,0.102916149440019,-4.94017078489498,7.80541746724557e-07,0.000145917125029187
"WNT4",58.7436389069151,0.508917552609735,0.178785433089895,2.84652694469715,0.00441989885746115,0.0369386953220962
"ZNF436",503.495471875663,-0.349322520374193,0.119953001285597,-2.91216156853372,0.00358936922739773,0.0325077425091926
"PITHD1",1005.67720963455,-0.561694695127619,0.183431180525875,-3.06215493743926,0.00219749675527544,0.0239261514849111
"HMGCL",208.483285342294,-0.45947714534362,0.145660462156185,-3.15443970547714,0.0016080660259731,0.0194250149459388
"FUCA1",107.304596365041,-0.643183582691133,0.119854126376065,-5.36638664131616,8.03296473452765e-08,3.9116022967292e-05
"TMEM50A",491.147438389734,-0.412580844758985,0.142192783214165,-2.90155966732553,0.00371310059611841,0.0332634726097117
"WDTC1",1857.82519113739,0.194097733804784,0.0693423195339536,2.79912375457449,0.00512414944657235,0.0402540383308382
"GPR3",24.2883020648186,-0.88623011379002,0.234618494752469,-3.77732418207279,0.000158522336394883,0.0042948170673097
"FGR",136.735297817715,0.673869024651202,0.191980185968339,3.51009673864123,0.000447943692861696,0.00832211040297638
"STX12",941.918609798987,-0.573695696782285,0.151770857329971,-3.78001222945582,0.000156820655933531,0.00426276833741954
"XKR8",121.337870812734,0.379388293000162,0.13738553675767,2.76148641228044,0.00575389107720752,0.0433038760296028
"RPA2",286.284928420697,-0.403806886529683,0.118646082683454,-3.40345738684888,0.000665387915655761,0.0108969644104418
"DNAJC8",572.242360582779,-0.280186926514959,0.0925898427344126,-3.02610867715431,0.00247723247482283,0.0257548996438034
"SNORA44",30.8924310521724,0.769470312602141,0.209662894172318,3.6700357287338,0.000242516568957729,0.00561414524587192
"YTHDF2",405.63731003975,-0.462684005789892,0.11464981656075,-4.03562796408598,5.44564491835078e-05,0.00223380669515643
"MECR",346.939066318267,-0.34105245446214,0.0980618097585237,-3.47793351256701,0.000505295242399698,0.00901253872492567
"ZCCHC17",571.465220779052,-0.467666433154358,0.112542567308458,-4.15546263373018,3.24629998616501e-05,0.0016045947266284
"PEF1",561.730175176642,-0.420458542733927,0.112350459307435,-3.74238383470589,0.000182282804230041,0.00470327610497719
"EIF3I",672.683378785566,-0.427941212125363,0.0985256510187437,-4.34344972807082,1.40262585744954e-05,0.000951864177781509
"FAM167B",26.0334298840816,1.00588877565664,0.280823907589057,3.58192001632783,0.000341078228113843,0.00699719242218284
"TSSK3",85.6923509263853,0.968377986035723,0.21033302963855,4.60402242909659,4.14407803179244e-06,0.000410595251389995
"FAM229A",54.0325315259677,0.593094152412653,0.209549418397573,2.83033070169343,0.00464999132545208,0.0379673717423857
"C1orf94",15.8824363752509,-2.1493792854218,0.4386858437023,-4.89958660913711,9.60385084991993e-07,0.000164374391102239
