"","logFC","logCPM","LR","PValue","FDR"
"ABCA11P",0.68245555637265,3.26557485519791,22.3271005789229,2.29938607925122e-06,0.000382896088625565
"SLC16A6",1.20416574734191,1.96817432313696,22.1612615896361,2.50681165251145e-06,0.000413958164218058
"GKAP1",-0.557762943199621,3.82493684744828,22.0506582922673,2.65548596113854e-06,0.000433041843053466
"GYS2",-1.09491424676114,0.296061951574484,22.0430135046773,2.66608320814104e-06,0.000433041843053466
"PCSK9",-2.67863117749767,-0.0198445783194608,21.9699092383415,2.76958832866726e-06,0.000445605052561665
"TSSK3",-0.963290944493346,2.63441582741453,21.9447017306821,2.80620554292085e-06,0.000445605052561665
"C1orf94",2.11765015080616,0.356875547108786,21.9404490448561,2.81243083813007e-06,0.000445605052561665
"KDELC1",-0.694415204007393,2.0594841257498,21.9136062158158,2.85204573178344e-06,0.000445605052561665
"GPCPD1",0.700725814927754,4.87593386973503,21.9110373937337,2.85586605143982e-06,0.000445605052561665
"SMTN",-1.23381422214226,5.23604548139447,21.8830199050775,2.89786817215497e-06,0.000448626216401742
"ZCCHC8",-0.534301313369993,4.1764291853747,21.8280180604826,2.98213490110449e-06,0.000455931576361666
"ADORA2A",-1.98221628792901,0.115296689983419,21.8082718160418,3.01298365488388e-06,0.000455931576361666
"HIGD1A",0.81375883835783,5.83029992494747,21.8075729106333,3.01408137380795e-06,0.000455931576361666
"FBXL19-AS1",-0.940476758336478,2.48089473261225,21.7185099914899,3.15730088916756e-06,0.000471627687782275
"MROH6",-1.32807452416189,2.42634011134039,21.713567257948,3.16544622905948e-06,0.000471627687782275
"JMJD6",-0.896449294081442,5.65419077550624,21.653843147743,3.26555081560652e-06,0.000482911604194469
"CMTM1",-0.737328016373256,2.16359330031666,21.6041128876352,3.35132412960076e-06,0.000490564582498158
"SLC23A3",-1.64535017961692,0.164735699457976,21.5900333588508,3.3760161644216e-06,0.000490564582498158
"ANO2",-0.973030096212042,3.10573474359662,21.5812175187781,3.39156983257204e-06,0.000490564582498158
"CCDC113",0.674713205570606,4.44819919983906,21.5438214439595,3.45835064131192e-06,0.000495444569002758
"LOC102724532",1.04719931140653,0.859298441620911,21.5344384162213,3.47531263077227e-06,0.000495444569002758
"CLEC18A",-1.72192704909041,-0.616915949894056,21.4028833422307,3.72211016042381e-06,0.000526838106706844
"CLDN34",2.16013861764881,-1.03533183930073,21.3732457274041,3.78009477047342e-06,0.000531250765756746
"PCSK1",1.84350353478251,4.78462559274801,21.3539000672291,3.81843172663688e-06,0.000532859458415749
"STAT1",0.849974813411022,6.34692742831641,21.322427573893,3.88163567701998e-06,0.000537891556474321
"LOC401557",3.10359497912226,-1.64140563126416,21.2759717136899,3.97685327844089e-06,0.000547259198372116
"BCAT2",-0.751309262103509,4.45703628656814,21.2075905377277,4.12129088647061e-06,0.000563224139353804
"STARD10",-0.590661790266115,5.00643723472281,21.1919395556708,4.15508311759076e-06,0.000563952925056017
"SLC5A3",-1.23265494568877,6.76155963936202,21.1558090618244,4.23415861176155e-06,0.000570776102385488
"ADCYAP1",1.70496745187054,2.74078912665181,21.115978020383,4.3230845299892e-06,0.000578825966528825
"PRKAG1",0.514841403056356,4.44664391843379,21.0993325661069,4.36079986694387e-06,0.000579957115190334
"CBX3P2",1.16428190652231,-0.255495446627895,21.060023048411,4.45118346410743e-06,0.000588031010165019
"PSMD6-AS2",-0.725577895662075,2.78580325196145,21.038144213959,4.50230096368089e-06,0.000590845005935766
"KRT81",1.57848229650413,-0.487260032381663,20.9707153364266,4.66357677723049e-06,0.00060798314090526
"LYG1",-0.828869958456475,1.34968577594596,20.9474478073251,4.72056303929917e-06,0.000610121349537492
"IDH2",0.646836036173756,6.57636636305018,20.9389470610517,4.74155671320013e-06,0.000610121349537492
"COPS7A",0.62830937823518,5.80939936977289,20.9133882947077,4.80524341907416e-06,0.000610724208536954
"ANKRD37",-1.17190445925083,2.28433088946035,20.9094752719883,4.81506928674017e-06,0.000610724208536954
